,age,body_type,diet,drinks,drugs,height,income,job,orientation,sex,sign,smokes,status,diet_modifier,education_status,education_institution,ethnicities_indian,ethnicities_native_american,ethnicities_middle_eastern,ethnicities_asian,ethnicities_white,ethnicities_black,ethnicities_other,ethnicities_pacific_islander,ethnicities_hispanic_/_latin,offspring_status,offspring_future,pets_cats,pets_dogs,religion_type,religion_modifier,sign_modifier,speaks_english,speaks_spanish,speaks_french,speaks_c++,speaks_chinese,speaks_japanese,speaks_german,speaks_italian
1153,19,average,anything,socially,sometimes,71.0,20000.0,student,straight,m,leo,when drinking,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,1,doesn't have kids,might want,likes cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,0,1,0,0,0,0
1166,24,athletic,anything,socially,never,69.0,30000.0,sales / marketing / biz dev,straight,m,leo,no,single,mostly,graduated from,college/university,0,0,0,0,0,0,1,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,buddhism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
1320,37,a little extra,anything,not at all,sometimes,72.0,70000.0,computer / hardware / software,straight,m,sagittarius,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,has cats,likes dogs,atheism,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
1339,31,fit,anything,socially,never,62.0,50000.0,other,straight,f,sagittarius,no,single,mostly,dropped out of,space camp,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,agnosticism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
1405,29,average,anything,socially,never,73.0,100000.0,computer / hardware / software,straight,m,capricorn,no,single,mostly,graduated from,high school,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,1,1,0,0,0,1,0
1434,25,thin,vegetarian,not at all,never,67.0,20000.0,computer / hardware / software,straight,m,leo,no,single,strictly,dropped out of,college/university,0,0,0,0,0,0,0,0,1,doesn't have kids,doesn't want,likes cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
1642,44,athletic,vegetarian,rarely,never,71.0,40000.0,medicine / health,straight,m,taurus,yes,single,mostly,working on,two-year college,0,0,0,0,0,1,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,other,very serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
1655,38,overweight,anything,socially,never,67.0,60000.0,executive / management,straight,m,taurus,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,1,0,0,0,0,1,1
1797,27,skinny,anything,not at all,never,70.0,20000.0,other,straight,m,virgo,no,single,strictly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,has cats,has dogs,atheism,not too serious about it,but it doesn't matter,1,0,0,1,1,1,0,0
1936,23,average,anything,rarely,never,64.0,20000.0,student,straight,f,leo,no,single,no specified diet modifier,working on,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,laughing about it,and it's fun to think about,1,0,0,0,1,0,0,0
1938,26,athletic,anything,socially,never,69.0,50000.0,military,straight,m,cancer,trying to quit,single,strictly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,1,0,0,0
1950,60,average,anything,not at all,never,66.0,50000.0,political / government,gay,m,aquarius,no,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
2145,43,average,vegetarian,socially,never,70.0,60000.0,sales / marketing / biz dev,straight,m,aquarius,yes,single,strictly,graduated from,two-year college,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,hinduism,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
2234,23,thin,anything,socially,sometimes,64.0,20000.0,entertainment / media,bisexual,f,pisces,trying to quit,single,mostly,working on,college/university,0,0,0,1,1,0,0,1,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,laughing about it,and it matters a lot,1,1,0,0,0,0,0,0
2253,21,thin,anything,socially,sometimes,70.0,20000.0,construction / craftsmanship,straight,m,libra,no,single,no specified diet modifier,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
2692,27,a little extra,anything,socially,sometimes,60.0,20000.0,sales / marketing / biz dev,straight,f,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
2714,48,fit,anything,often,never,65.0,100000.0,banking / financial / real estate,straight,f,libra,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
2828,22,curvy,anything,socially,never,68.0,20000.0,other,straight,f,cancer,no,seeing someone,strictly,dropped out of,college/university,0,0,0,0,1,1,0,0,0,doesn't have kids,doesn't want,likes cats,has dogs,agnosticism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
2850,31,athletic,other,socially,never,72.0,70000.0,construction / craftsmanship,straight,m,aquarius,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
2899,32,fit,other,socially,never,61.0,50000.0,computer / hardware / software,straight,f,taurus,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,has dogs,catholicism,very serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
3138,24,fit,vegetarian,very often,never,65.0,20000.0,medicine / health,straight,f,leo,sometimes,single,strictly,graduated from,high school,0,0,1,0,0,0,1,0,1,doesn't have kids,might want,has cats,has dogs,other,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
3164,27,curvy,vegetarian,socially,never,61.0,30000.0,science / tech / engineering,straight,f,virgo,no,seeing someone,mostly,working on,ph.d program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,not too serious about it,but it doesn't matter,1,0,1,0,0,0,0,0
3168,33,average,anything,socially,never,68.0,1000000.0,science / tech / engineering,gay,m,libra,no,single,strictly,graduated from,ph.d program,0,0,1,0,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,very serious about it,but it doesn't matter,1,1,1,0,0,0,0,0
3220,22,thin,anything,socially,never,64.0,20000.0,student,bisexual,f,pisces,no,seeing someone,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,1,0,0,0,0,0
3222,24,a little extra,anything,socially,sometimes,74.0,20000.0,other,straight,m,aquarius,trying to quit,single,no specified diet modifier,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
3374,21,average,other,socially,often,75.0,20000.0,hospitality / travel,gay,m,aquarius,when drinking,single,strictly,working on,college/university,0,1,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
3500,22,average,anything,rarely,never,62.0,20000.0,unemployed,straight,f,scorpio,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,atheism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
3611,23,average,vegetarian,socially,sometimes,76.0,30000.0,science / tech / engineering,straight,m,gemini,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
3643,32,curvy,vegetarian,socially,never,63.0,30000.0,education / academia,straight,f,cancer,no,single,mostly,graduated from,college/university,0,0,0,0,0,0,1,0,0,doesn't have kids,wants,likes cats,likes dogs,catholicism,laughing about it,but it doesn't matter,1,0,0,0,1,1,0,0
3654,24,skinny,anything,rarely,never,69.0,20000.0,clerical / administrative,straight,f,gemini,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,catholicism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,1,1
3817,23,average,anything,very often,never,73.0,50000.0,entertainment / media,straight,m,sagittarius,no,single,no specified diet modifier,working on,two-year college,0,0,0,0,0,0,0,0,1,has a kid,might want,likes cats,likes dogs,other,very serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
3827,22,curvy,anything,not at all,never,60.0,20000.0,education / academia,straight,f,sagittarius,no,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,very serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
3913,27,athletic,anything,socially,sometimes,64.0,40000.0,clerical / administrative,straight,f,aquarius,no,single,mostly,working on,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
3972,32,average,anything,rarely,never,68.0,80000.0,sales / marketing / biz dev,straight,m,cancer,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,1,1,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,1,1,0,0,0,0,0
4109,26,curvy,vegetarian,socially,never,64.0,40000.0,education / academia,straight,f,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,judaism,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
4244,28,used up,anything,socially,sometimes,73.0,20000.0,artistic / musical / writer,straight,m,libra,when drinking,single,strictly,working on,masters program,0,0,0,0,0,1,0,0,0,doesn't have kids,might want,has cats,likes dogs,agnosticism,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
4641,30,thin,anything,socially,never,70.0,60000.0,entertainment / media,straight,m,aries,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
4732,37,fit,anything,socially,never,72.0,150000.0,science / tech / engineering,straight,m,cancer,no,single,no specified diet modifier,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,judaism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
4802,42,average,anything,desperately,never,74.0,20000.0,political / government,straight,m,capricorn,no,available,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,has kids,wants,likes cats,likes dogs,atheism,very serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
4835,32,fit,vegetarian,socially,never,69.0,30000.0,hospitality / travel,straight,m,cancer,no,single,mostly,graduated from,two-year college,1,0,1,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,judaism,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
4948,25,average,vegetarian,socially,never,74.0,20000.0,other,straight,m,taurus,no,single,mostly,working on,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
5074,19,athletic,anything,socially,never,71.0,20000.0,student,straight,m,cancer,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,catholicism,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
5227,48,average,anything,socially,never,69.0,100000.0,computer / hardware / software,straight,m,aries,no,married,mostly,graduated from,masters program,0,0,0,1,0,0,0,0,0,has kids,doesn't want,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
5385,32,fit,vegetarian,rarely,never,69.0,100000.0,executive / management,straight,m,cancer,no,single,mostly,graduated from,college/university,0,0,0,1,1,0,0,1,1,doesn't have kids,wants,likes cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,1,0,0,0,1,0,0
5464,20,average,vegetarian,often,sometimes,62.0,20000.0,other,straight,f,scorpio,yes,single,strictly,dropped out of,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,has cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
5473,48,fit,anything,socially,never,68.0,100000.0,computer / hardware / software,straight,f,sagittarius,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,has a kid,doesn't want,likes cats,has dogs,other,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
5622,29,athletic,anything,rarely,never,75.0,60000.0,artistic / musical / writer,straight,m,capricorn,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,1,0,0,doesn't have kids,might want,likes cats,likes dogs,other,laughing about it,but it doesn't matter,1,1,0,0,0,0,0,0
5644,48,athletic,anything,socially,never,70.0,150000.0,law / legal services,straight,m,gemini,no,single,mostly,graduated from,law school,0,0,0,0,1,0,0,0,0,has kids,might want,has cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,1,0,0,0
5698,50,athletic,other,not at all,never,66.0,20000.0,student,straight,f,capricorn,no,single,mostly,working on,two-year college,0,0,0,0,1,1,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
5701,59,average,anything,not at all,never,71.0,50000.0,other,straight,m,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,has kids,doesn't want,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
5702,54,fit,anything,socially,never,67.0,80000.0,sales / marketing / biz dev,straight,m,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
5749,29,athletic,anything,socially,never,67.0,70000.0,science / tech / engineering,straight,m,capricorn,no,single,strictly,graduated from,college/university,1,0,0,0,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
5788,32,fit,anything,socially,never,74.0,150000.0,sales / marketing / biz dev,straight,m,scorpio,no,single,no specified diet modifier,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,laughing about it,no specified sign modifier,1,1,0,0,0,0,0,1
5923,21,full figured,vegetarian,socially,never,63.0,20000.0,education / academia,straight,f,pisces,no,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,has dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
5946,40,average,anything,rarely,never,63.0,60000.0,education / academia,straight,f,scorpio,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,1,0,0,0,0,1,0
6088,40,full figured,anything,socially,never,64.0,70000.0,clerical / administrative,straight,f,pisces,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,has cats,likes dogs,catholicism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
6106,26,fit,kosher,socially,sometimes,72.0,20000.0,education / academia,straight,m,virgo,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,very serious about it,and it's fun to think about,1,1,1,0,0,0,0,0
6217,33,athletic,anything,socially,never,70.0,100000.0,computer / hardware / software,straight,m,taurus,no,single,mostly,dropped out of,college/university,0,0,1,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,judaism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
6251,47,average,anything,socially,never,69.0,70000.0,computer / hardware / software,straight,m,aries,no,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
6313,24,thin,anything,socially,never,68.0,30000.0,clerical / administrative,straight,f,gemini,no,single,mostly,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,has cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
6337,25,average,vegetarian,socially,never,70.0,20000.0,banking / financial / real estate,gay,m,taurus,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,1,0,0,0,0,0
6414,43,athletic,vegetarian,not at all,never,71.0,70000.0,science / tech / engineering,straight,m,sagittarius,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,has cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
6430,19,a little extra,anything,socially,sometimes,66.0,20000.0,hospitality / travel,straight,f,aquarius,no,single,mostly,graduated from,high school,0,0,0,0,1,0,0,0,1,doesn't have kids,might want,likes cats,has dogs,agnosticism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
6521,21,average,anything,socially,never,77.0,20000.0,unemployed,straight,m,virgo,no,single,mostly,graduated from,high school,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,has cats,likes dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
6620,31,athletic,vegetarian,socially,never,66.0,70000.0,computer / hardware / software,straight,m,capricorn,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,laughing about it,and it's fun to think about,1,0,1,0,0,0,0,0
6641,47,average,anything,socially,never,70.0,50000.0,science / tech / engineering,straight,m,sagittarius,no,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,catholicism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
6804,36,average,anything,rarely,never,71.0,100000.0,computer / hardware / software,straight,m,aquarius,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
7021,39,a little extra,anything,socially,never,69.0,20000.0,medicine / health,straight,m,sagittarius,no,available,no specified diet modifier,working on,two-year college,0,0,0,0,0,1,0,0,0,has a kid,might want,has cats,likes dogs,other,somewhat serious about it,no specified sign modifier,1,1,0,0,0,0,0,0
7147,22,athletic,anything,socially,never,69.0,30000.0,computer / hardware / software,straight,m,aquarius,no,single,mostly,working on,college/university,0,0,0,1,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,very serious about it,and it's fun to think about,1,0,0,0,0,1,0,0
7165,62,average,anything,socially,never,66.0,80000.0,education / academia,straight,f,capricorn,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,has a kid,doesn't want,has cats,likes dogs,christianity,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
7167,28,curvy,anything,often,never,61.0,50000.0,medicine / health,bisexual,f,scorpio,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,atheism,very serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
7199,27,athletic,anything,socially,sometimes,68.0,40000.0,science / tech / engineering,straight,f,leo,when drinking,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
7378,26,fit,anything,socially,sometimes,72.0,40000.0,sales / marketing / biz dev,straight,m,taurus,trying to quit,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
7398,32,average,anything,rarely,sometimes,71.0,20000.0,computer / hardware / software,bisexual,m,taurus,yes,seeing someone,no specified diet modifier,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,atheism,somewhat serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
