,age,body_type,diet,drinks,drugs,height,job,orientation,sex,smokes,status,diet_modifier,education_status_extracted,education_institution_extracted,ethnicities_pacific_islander,ethnicities_other,ethnicities_black,ethnicities_indian,ethnicities_middle_eastern,ethnicities_native_american,ethnicities_hispanic_/_latin,ethnicities_asian,ethnicities_white,offspring_status,offspring_future,pets_cats,pets_dogs,religion_type,religion_modifier,sign_extracted,sign_modifier_extracted,speaks_english,speaks_spanish,speaks_french,speaks_russian,speaks_c++,speaks_chinese,speaks_tagalog,speaks_esperanto,speaks_portuguese,speaks_japanese,speaks_lisp,speaks_ukrainian,speaks_german,speaks_sanskrit,speaks_thai,speaks_hindi,speaks_ancient,speaks_italian,speaks_sign,speaks_swedish,speaks_sign_language,speaks_romanian,speaks_latin,speaks_other,speaks_dutch,speaks_danish,speaks_arabic,speaks_hebrew,speaks_korean,speaks_gujarati,speaks_hawaiian,speaks_farsi,speaks_afrikaans,speaks_yiddish,speaks_hungarian,speaks_vietnamese,speaks_indonesian,speaks_latvian,speaks_irish,speaks_swahili,speaks_rotuman,speaks_czech,speaks_icelandic,speaks_norwegian,speaks_tamil,speaks_greek,speaks_tibetan,speaks_catalan,speaks_croatian,speaks_turkish,speaks_armenian,speaks_mongolian,speaks_serbian,speaks_polish,speaks_slovak,speaks_bengali,speaks_urdu,speaks_persian,speaks_welsh,speaks_khmer,speaks_ilongo,speaks_cebuano,speaks_malay,speaks_albanian,speaks_bulgarian,speaks_basque,speaks_occitan,speaks_finnish
203,-0.14071778699197746,4,0,4,0,-1.3491004861244298,18,2,0,3,3,2,2,5,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,4,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,-0.35146751114680397,2,0,4,0,0.17048980184405246,10,2,1,0,3,1,1,7,0,0,0,0,0,0,0,1,0,0,1,1,1,4,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0.17540679924026234,2,0,4,0,-1.602365534119177,12,2,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0.7022811096273287,4,5,3,0,0.17048980184405246,17,2,1,0,3,1,1,3,0,0,0,0,0,0,0,0,1,0,1,1,1,8,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1.5452800062466348,2,0,3,0,0.17048980184405246,4,2,1,0,3,1,1,7,0,0,0,0,0,0,0,0,1,0,1,1,0,4,1,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,3.125902937407834,2,0,4,0,-1.3491004861244298,15,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,2.7044034890981807,2,5,3,0,-1.602365534119177,12,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,8,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,1.0184056958595684,10,0,4,0,-1.0958354381296829,2,2,0,0,3,1,1,0,0,0,0,0,0,1,0,0,1,2,0,1,1,3,1,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,1.650654868324048,3,3,4,0,-0.08277524615069459,12,2,0,0,3,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,8,1,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,-0.9837166836112836,7,0,5,1,0.9302849458282936,18,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,8,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,2.809778351175594,4,0,4,0,-1.0958354381296829,5,2,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,8,1,9,3,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,-1.4052161319209366,1,0,4,0,1.1835499938230407,18,2,1,0,3,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,8,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,1.8614045924788747,1,0,4,2,0.4237548498387995,0,2,1,0,0,2,0,6,0,1,0,0,0,0,0,0,1,2,0,1,1,0,3,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,1.5452800062466348,2,0,3,0,-1.3491004861244298,7,2,0,0,3,1,1,3,0,0,0,0,0,0,1,0,1,0,2,1,1,3,1,8,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,-0.7729669594564571,2,0,1,0,-0.08277524615069459,7,2,0,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,-0.24609264906939074,10,0,4,0,1.4368150418177876,4,2,1,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,-1.4052161319209366,2,0,1,0,0.4237548498387995,11,2,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,3,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,-0.6675920973790438,9,5,2,0,0.17048980184405246,5,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,-0.03534292491456419,1,0,4,0,-0.3360402941454416,7,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,1.229155420014395,5,0,4,2,-1.0958354381296829,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,8,1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,0.49153138547250214,0,0,1,0,-0.3360402941454416,12,2,1,2,3,1,1,7,1,0,0,0,0,0,0,1,0,0,2,0,0,3,2,8,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,-0.14071778699197746,2,0,4,0,0.17048980184405246,19,2,1,2,3,1,1,7,0,0,1,0,0,0,0,0,0,2,1,1,1,8,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,1.5452800062466348,4,0,2,0,1.1835499938230407,1,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,6,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,-0.24609264906939074,4,0,4,0,0.4237548498387995,12,2,1,0,3,2,1,3,0,0,0,0,0,0,1,0,1,0,1,1,1,8,2,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,-0.5622172353016305,0,0,4,0,1.4368150418177876,19,2,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,8,0,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,-0.7729669594564571,4,5,4,0,-0.08277524615069459,10,2,1,1,3,1,1,7,1,0,0,0,0,0,1,0,0,0,1,1,0,3,1,3,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,-1.2998412698435233,1,2,3,0,-0.5893053421401887,0,2,1,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,3,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,-0.14071778699197746,1,4,0,2,0.17048980184405246,17,2,1,0,3,1,1,7,0,0,0,0,0,1,0,0,1,0,1,1,1,8,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,-1.1944664077661102,2,0,4,2,-0.3360402941454416,12,2,1,2,3,1,2,7,0,0,0,0,0,0,0,1,0,0,1,1,1,8,2,8,2,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,-0.5622172353016305,4,0,3,2,0.17048980184405246,3,2,1,0,0,1,0,5,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0,11,3,4,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,-0.8783418215338703,2,5,5,2,-0.08277524615069459,0,2,1,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,11,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,0.3861565233950889,4,0,1,0,1.1835499938230407,17,2,1,0,3,2,1,3,0,0,0,0,0,0,0,0,1,0,2,1,1,8,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,0.7022811096273287,3,3,4,0,-0.8425703901349357,7,2,0,0,3,1,1,3,0,0,0,0,0,0,0,0,1,0,2,0,1,7,0,9,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,0.9130308337821552,2,0,3,0,0.4237548498387995,17,2,1,0,3,1,1,6,0,0,0,0,0,0,0,0,1,0,2,1,1,4,0,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,-1.089091545688697,2,5,3,2,0.6770198978335465,20,2,1,0,0,2,0,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,-0.4568423732242173,10,0,4,2,0.17048980184405246,3,2,1,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,-0.5622172353016305,5,3,3,2,-0.5893053421401887,18,0,0,0,2,2,2,6,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,0.3861565233950889,1,0,4,2,-0.3360402941454416,10,2,0,0,3,1,1,4,0,0,0,0,0,0,0,0,1,0,2,1,1,8,1,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,-0.14071778699197746,4,5,4,0,-0.5893053421401887,3,2,0,0,3,1,1,3,0,0,0,0,0,0,0,0,1,0,2,1,1,4,1,11,2,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,-0.5622172353016305,1,0,4,0,-1.3491004861244298,18,2,0,0,3,1,2,4,0,0,0,0,0,0,1,0,1,0,2,0,0,3,1,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,-0.24609264906939074,0,0,2,2,-0.08277524615069459,13,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,9,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,-0.9837166836112836,4,0,4,0,0.17048980184405246,17,1,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,1,0,3,4,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,-0.7729669594564571,7,0,1,0,-0.08277524615069459,20,2,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,-1.4052161319209366,2,0,4,2,0.6770198978335465,18,2,1,3,3,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,5,3,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,-0.8783418215338703,1,0,4,0,0.17048980184405246,16,2,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,0.5969062475499154,2,3,3,0,0.9302849458282936,12,1,1,0,3,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,9,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,1.0184056958595684,2,0,4,0,1.1835499938230407,1,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,-0.24609264906939074,4,0,3,0,-0.8425703901349357,12,2,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,4,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
